Date,Open,High,Low,Close,Volume,Change
2022-06-10,64000,64400,63800,63800,22193552,-0.0214723926
2022-06-13,62400,62800,62100,62100,22157816,-0.026645768
2022-06-14,61200,62200,61100,61900,24606419,-0.00322061192
2022-06-15,61300,61500,60200,60700,26811224,-0.0193861066
2022-06-16,61300,61800,60500,60900,23394895,0.00329489292
2022-06-17,59400,59900,59400,59800,29053450,-0.0180623974
2022-06-20,59800,59900,58100,58700,34111306,-0.0183946488
2022-06-21,58700,59200,58200,58500,25148109,-0.00340715503
2022-06-22,59000,59100,57600,57600,23334687,-0.0153846154
2022-06-23,57700,58000,56800,57400,28338608,-0.00347222222
2022-06-24,57900,59100,57700,58400,23256103,0.0174216028
2022-06-27,59000,59900,58300,58800,18122236,0.00684931507
2022-06-28,59200,59500,58700,59400,13540538,0.0102040816
2022-06-29,58500,58800,58000,58000,14677138,-0.0235690236
2022-06-30,57200,57600,57000,57000,18915142,-0.0172413793
2022-07-01,56900,57500,55900,56200,24982097,-0.0140350877
2022-07-04,56100,57400,55700,57100,17807126,0.0160142349
2022-07-05,57600,58200,57200,57200,14216539,0.00175131349
2022-07-06,57300,57300,56400,56400,16820461,-0.013986014
2022-07-07,56400,58700,56300,58200,21322833,0.0319148936
2022-07-08,58600,59300,58200,58700,15339271,0.00859106529
2022-07-11,59300,59600,58700,58800,13042624,0.00170357751
2022-07-12,58600,58700,58100,58100,9336061,-0.0119047619
2022-07-13,58300,58600,58000,58000,10841315,-0.0017211704
2022-07-14,57500,58200,57400,57500,15067012,-0.00862068966
2022-07-15,58400,60000,58100,60000,18685583,0.0434782609
2022-07-18,60600,62000,60500,61900,20832517,0.0316666667
2022-07-19,61400,61500,60200,60900,15248261,-0.0161550889
2022-07-20,61800,62100,60500,60500,16782238,-0.0065681445
2022-07-21,61100,61900,60700,61800,12291374,0.0214876033
2022-07-22,61800,62200,61200,61300,10261310,-0.00809061489
2022-07-25,60900,61900,60800,61100,9193681,-0.00326264274
2022-07-26,60800,61900,60800,61700,6597211,0.00981996727
2022-07-27,61300,61900,61200,61800,7320997,0.00162074554
2022-07-28,62300,62600,61600,61900,10745302,0.00161812298
2022-07-29,62400,62600,61300,61400,15093120,-0.00807754443
2022-08-01,61000,61700,60300,61300,13154816,-0.0016286645
2022-08-02,61200,61900,61000,61700,13614895,0.00652528548
2022-08-03,61600,61600,61000,61300,10053861,-0.00648298217
2022-08-04,61700,61800,61200,61500,9125439,0.00326264274
2022-08-05,61700,61900,61200,61500,9567620,0
2022-08-08,61400,61400,60600,60800,11313150,-0.0113821138
2022-08-09,60600,60700,59600,60000,18251170,-0.0131578947
2022-08-10,58900,59200,58600,59100,18084349,-0.015
2022-08-11,59600,60000,59300,59900,15141941,0.013536379
2022-08-12,59500,60700,59400,60200,10786658,0.00500834725
2022-08-16,60500,61600,60300,61000,15036727,0.0132890365
2022-08-17,61100,61200,60300,60400,9061518,-0.00983606557
2022-08-18,60300,61900,60000,61500,16372754,0.0182119205
2022-08-19,61400,61600,60600,60900,6923679,-0.00975609756
2022-08-22,60300,60400,59800,60000,8259865,-0.0147783251
2022-08-23,59000,59600,59000,59100,9041629,-0.015
2022-08-24,59200,59500,59000,59000,8888486,-0.00169204738
2022-08-25,59200,59700,59000,59700,5767902,0.0118644068
2022-08-26,60300,60900,59900,60000,9499995,0.00502512563
2022-08-29,58700,58900,58600,58600,9841329,-0.0233333333
2022-08-30,58700,59000,58300,58800,9690044,0.00341296928
2022-08-31,58200,59900,58200,59700,14203512,0.0153061224
2022-09-01,58700,58900,58300,58400,14905777,-0.0217755444
2022-09-02,58300,58600,57500,57500,15040310,-0.0154109589
2022-09-05,57400,57800,56800,57100,11425977,-0.00695652174
2022-09-06,57200,57600,56900,57100,7503086,0
2022-09-07,56700,56700,55900,56000,17384854,-0.0192644483
2022-09-08,56200,56400,55600,55600,18000016,-0.00714285714
2022-09-13,57000,58500,56800,58100,17166581,0.0449640288
2022-09-14,56200,57200,56100,56800,12524961,-0.0223752151
2022-09-15,57000,57100,56000,56000,11664819,-0.014084507
2022-09-16,55600,56400,55500,56200,13456503,0.00357142857
2022-09-19,56300,57000,56000,56400,12278653,0.00355871886
2022-09-20,56400,57000,55800,55800,14041465,-0.0106382979
2022-09-21,55400,55500,55000,55300,11863700,-0.00896057348
2022-09-22,54600,54700,54300,54400,12786510,-0.0162748644
2022-09-23,54400,54900,54200,54500,10555964,0.00183823529
2022-09-26,53700,54200,53600,53900,15008449,-0.0110091743
2022-09-27,53800,54200,53500,54200,16631289,0.00556586271
2022-09-28,53900,54400,52500,52900,19991129,-0.0239852399
2022-09-29,53300,53700,52600,52600,13882080,-0.0056710775
2022-09-30,52300,53600,51800,53100,22503249,0.00950570342
2022-10-04,55300,55400,54500,55200,19148435,0.0395480226
2022-10-05,56900,57200,55400,56000,22458970,0.0144927536
2022-10-06,56700,57300,56300,56300,14944446,0.00535714286
2022-10-07,55900,56900,55200,56200,16886813,-0.00177619893
2022-10-11,54400,55700,54000,55400,21437877,-0.0142348754
2022-10-12,55700,57000,55200,55800,18408910,0.00722021661
2022-10-13,55400,56100,55200,55200,13784602,-0.0107526882
2022-10-14,56200,56500,55800,56300,12924326,0.0199275362
2022-10-17,55800,57000,55700,56600,13641878,0.0053285968
2022-10-18,56700,57100,55800,56500,14820702,-0.00176678445
2022-10-19,56700,56900,55700,55800,12660652,-0.0123893805
2022-10-20,55200,56000,55100,55500,17107653,-0.00537634409
2022-10-21,55100,56300,55100,55900,11456060,0.00720720721
2022-10-24,57000,57500,56700,57500,16944503,0.0286225403
2022-10-25,57000,58600,57000,57700,17405678,0.00347826087
2022-10-26,58000,59600,57700,59400,20824967,0.0294627383
2022-10-27,59700,60100,58900,59500,21756712,0.00168350168
2022-10-28,58900,59200,57200,57300,20924937,-0.0369747899
2022-10-31,58100,59900,58000,59400,18999514,0.0366492147
2022-11-01,59900,60300,59500,60000,17201647,0.0101010101
2022-11-02,59700,60000,59300,59600,13202919,-0.00666666667
2022-11-03,58600,59800,58100,59200,17492162,-0.0067114094
2022-11-04,59100,59500,58400,59400,12445841,0.00337837838
2022-11-07,59700,60300,59400,60200,12437246,0.0134680135
2022-11-08,60500,61900,60500,61800,18273898,0.0265780731
2022-11-09,62000,62200,61300,62000,14045592,0.00323624595
2022-11-10,61400,61500,60400,60400,21087633,-0.0258064516
2022-11-11,63100,63200,62300,62900,20037163,0.0413907285
2022-11-14,62900,62900,61700,61900,15973416,-0.0158982512
2022-11-15,62200,62500,61600,62400,12310986,0.00807754443
2022-11-16,62400,62700,61700,62700,12909260,0.00480769231
2022-11-17,62000,62000,61300,61400,13298296,-0.0207336523
2022-11-18,61800,62400,61400,61800,12236503,0.00651465798
2022-11-21,61400,61800,60800,61400,9378097,-0.00647249191
2022-11-22,60900,61200,60300,60600,9411289,-0.013029316
2022-11-23,61200,61300,60700,61000,8765050,0.00660066007
2022-11-24,61200,61700,60900,61400,8125010,0.00655737705
2022-11-25,61400,61700,60800,61000,6677933,-0.00651465798
2022-11-28,60500,60500,59800,60100,8589032,-0.0147540984
2022-11-29,59900,60600,59800,60600,7014160,0.00831946755
2022-11-30,60400,62200,60200,62200,19768903,0.0264026403
2022-12-01,63100,63200,62300,62600,16631445,0.00643086817
2022-12-02,62500,62500,60400,60400,15331184,-0.03514377
2022-12-05,60900,61100,60000,60300,13767787,-0.00165562914
2022-12-06,59800,60100,59200,59200,13888300,-0.0182421227
2022-12-07,58800,59600,58500,58900,12100662,-0.00506756757
2022-12-08,58700,59200,58600,59200,12986815,0.00509337861
2022-12-09,59300,60600,59300,60400,10529632,0.0202702703
2022-12-12,59900,60000,59400,59500,9036472,-0.0149006623
2022-12-13,59600,60300,59400,59700,9040873,0.00336134454
2022-12-14,59800,60600,59800,60500,8207485,0.013400335
2022-12-15,59800,60200,59300,59300,8716039,-0.0198347107
2022-12-16,58300,59500,58300,59500,13033596,0.00337268128
2022-12-19,59500,59900,59100,59500,7696187,0
2022-12-20,59000,59100,58500,58600,9284761,-0.0151260504
2022-12-21,58700,59100,58000,58000,10356971,-0.0102389078
2022-12-22,58100,59100,58100,59100,10720630,0.0189655172
2022-12-23,58200,58400,57700,58100,9829407,-0.0169204738
2022-12-26,58000,58100,57700,57900,6756411,-0.00344234079
2022-12-27,58000,58400,57900,58100,10667027,0.00345423143
2022-12-28,57600,57600,56400,56600,14665410,-0.0258175559
2022-12-29,56000,56200,55300,55300,11295935,-0.0229681979
2023-01-02,55500,56100,55200,55500,10031448,0.00361663653
2023-01-03,55400,56000,54500,55400,13547030,-0.0018018018
2023-01-04,55700,58000,55600,57800,20188071,0.0433212996
2023-01-05,58200,58800,57600,58200,15682826,0.00692041522
2023-01-06,58300,59400,57900,59000,17334989,0.0137457045
2023-01-09,59700,60700,59600,60700,18640107,0.0288135593
2023-01-10,60200,61100,59900,60400,14859797,-0.00494233937
2023-01-11,61000,61200,60300,60500,12310751,0.00165562914
2023-01-12,61100,61200,59900,60500,16102561,0
2023-01-13,60500,61200,60400,60800,12510328,0.00495867769
2023-01-16,61300,61600,60800,61100,10039972,0.00493421053
2023-01-17,61200,61500,60600,61000,9831456,-0.00163666121
2023-01-18,60700,61000,59900,60400,11584041,-0.00983606557
2023-01-19,60500,61500,60400,61500,12808490,0.0182119205
2023-01-20,62100,62300,61100,61800,9646327,0.00487804878
2023-01-25,63500,63700,63000,63400,16822710,0.0258899676
2023-01-26,63800,63900,63300,63900,13278277,0.00788643533
2023-01-27,64400,65000,63900,64600,18760182,0.0109546166
2023-01-30,64900,64900,63100,63300,20995234,-0.020123839
2023-01-31,63500,63700,61000,61000,29746731,-0.0363349131
2023-02-01,62600,62700,61000,61800,18570133,0.0131147541
2023-02-02,63200,63900,62600,63500,23285983,0.0275080906
2023-02-03,63900,64000,63000,63800,15194598,0.00472440945
2023-02-06,62800,63000,61600,61600,15529356,-0.0344827586
2023-02-07,61900,62500,61600,61900,14491039,0.00487012987
2023-02-08,62800,63300,62400,63100,12243125,0.0193861066
2023-02-09,63000,63300,62300,63000,12164865,-0.00158478605
2023-02-10,62600,63000,62400,62800,9382576,-0.00317460317
2023-02-13,62900,63000,62300,62900,10730362,0.00159235669
2023-02-14,63600,63900,63200,63200,9126664,0.00476947536
2023-02-15,63900,63900,62000,62200,13208103,-0.0158227848
2023-02-16,62500,63700,62400,63700,13798831,0.0241157556
2023-02-17,62900,63300,62400,62600,10791265,-0.0172684458
2023-02-20,62900,63000,61800,62700,12908073,0.00159744409
2023-02-21,62700,62800,62000,62100,7665046,-0.00956937799
2023-02-22,61500,61800,61000,61100,11959088,-0.0161030596
2023-02-23,61700,62500,61500,62000,13047099,0.0147299509
2023-02-24,62300,62600,61300,61300,10308143,-0.0112903226
2023-02-27,60800,60800,60200,60500,11155697,-0.013050571
2023-02-28,60800,61400,60500,60600,13715861,0.00165289256
2023-03-02,60900,61800,60500,60800,13095682,0.00330033003
2023-03-03,61000,61200,60500,60500,10711405,-0.00493421053
2023-03-06,61100,61600,60800,61500,13630602,0.0165289256
2023-03-07,61400,61400,60700,60700,11473280,-0.0130081301
2023-03-08,60100,60500,59900,60300,14161857,-0.00658978583
2023-03-09,60500,60800,59900,60100,14334499,-0.00331674959
2023-03-10,59500,59700,59100,59500,11902471,-0.00998336106
2023-03-13,59900,60200,59300,60000,12779724,0.00840336134
2023-03-14,59400,59500,59000,59000,12147346,-0.0166666667
2023-03-15,60000,60300,59600,59800,10482149,0.013559322
2023-03-16,59200,60200,59100,59900,10611939,0.0016722408
2023-03-17,60800,61300,60600,61300,14090110,0.0233722871
2023-03-20,61100,61200,60200,60200,9618009,-0.0179445351
2023-03-21,60500,60700,60100,60300,8318514,0.00166112957
2023-03-22,61000,61200,60500,61100,8978591,0.0132669983
2023-03-23,60600,62300,60600,62300,15381057,0.0196399345
2023-03-24,62700,63300,62300,63000,18278602,0.0112359551
2023-03-27,62600,62800,62000,62100,11039331,-0.0142857143
2023-03-28,62400,62900,62100,62900,11614118,0.0128824477
2023-03-29,62500,62700,62200,62700,11216008,-0.00317965024
2023-03-30,63700,63700,63100,63200,15684377,0.00797448166
2023-03-31,64000,64000,63700,64000,14094479,0.0126582278
2023-04-03,64000,64000,63000,63100,11973133,-0.0140625
2023-04-04,63400,63800,62800,63600,11120514,0.00792393027
2023-04-05,63700,64000,63400,63900,9176149,0.00471698113
2023-04-06,63500,63600,62300,62300,14992747,-0.0250391236
2023-04-07,63800,65200,63800,65000,27476120,0.0433386838
2023-04-10,64800,66300,64700,65700,18777166,0.0107692308
2023-04-11,66200,66200,65400,65900,16323183,0.00304414003
2023-04-12,65800,66200,65300,66000,15021313,0.00151745068
2023-04-13,65600,66100,65400,66100,15091022,0.00151515152
2023-04-14,66600,66600,65000,65100,16176490,-0.015128593
2023-04-17,65000,65600,64700,65300,13486618,0.00307219662
2023-04-18,65900,66000,64800,65600,14802060,0.0045941807
2023-04-19,65500,65800,65300,65500,10255985,-0.00152439024
2023-04-20,65100,65300,64600,65300,9501169,-0.00305343511
2023-04-21,65800,65900,65400,65700,10538622,0.00612557427
2023-04-24,65300,65700,64800,65200,12986581,-0.00761035008
2023-04-25,65300,65400,63400,63600,16193271,-0.0245398773
2023-04-26,63600,64300,63300,64100,12664541,0.00786163522
2023-04-27,64100,65000,63300,64600,14779601,0.00780031201
2023-04-28,65200,65900,65000,65500,19699481,0.0139318885
2023-05-02,66000,66300,65100,65700,14396948,0.00305343511
2023-05-03,65100,65600,64900,65400,8876749,-0.00456621005
2023-05-04,65600,65700,64700,65100,9791064,-0.00458715596
2023-05-08,66300,66300,65400,65900,9405365,0.0122887865
2023-05-09,65800,65800,65100,65300,9366861,-0.0091047041
2023-05-10,65500,65500,64300,64600,13057727,-0.010719755
2023-05-11,64700,65100,64200,64200,11648905,-0.00619195046
2023-05-12,63700,64600,63600,64100,8693913,-0.0015576324
2023-05-15,64100,64600,63900,64500,8172021,0.00624024961
2023-05-16,65800,65900,65300,65400,12334657,0.0139534884
2023-05-17,65900,65900,64800,65000,10745504,-0.00611620795
2023-05-18,66000,66200,65700,66200,14431704,0.0184615385
2023-05-19,67800,68400,67500,68400,20349345,0.0332326284
2023-05-22,68400,69000,68000,68500,14470308,0.0014619883
2023-05-23,68500,68700,68100,68400,8561643,-0.00145985401
2023-05-24,68100,68700,68000,68500,8192896,0.0014619883
2023-05-25,69900,70000,68700,68800,14231160,0.00437956204
2023-05-26,69800,70400,69500,70300,19549511,0.0218023256
2023-05-30,71300,72300,71200,72300,27476897,0.0284495021
2023-05-31,72400,72500,71000,71400,25666087,-0.0124481328
2023-06-01,70900,71600,70600,70900,14669296,-0.00700280112
2023-06-02,71700,72200,71600,72200,12161798,0.0183356841
2023-06-05,72700,72700,71400,71700,12686829,-0.00692520776
2023-06-07,71300,71600,70800,71000,14796613,-0.00976290098
2023-06-08,70400,70900,70000,70900,19165568,-0.0014084507
2023-06-09,71100,72300,70800,72000,15050209,0.0155148096
2023-06-12,72100,72400,70800,71000,12064287,-0.0138888889
2023-06-13,71700,72200,71600,72000,13227285,0.014084507
2023-06-14,72100,72200,71100,71900,12541046,-0.00138888889
2023-06-15,72100,72300,71300,71500,13614994,-0.00556328234
2023-06-16,71800,71900,70900,71800,15373696,0.0041958042
2023-06-19,71300,71700,70900,71200,11100887,-0.00835654596
2023-06-20,70700,71400,70400,71400,11557883,0.00280898876
2023-06-21,70700,71200,70400,70500,10626603,-0.012605042
2023-06-22,70200,71500,70100,71300,11411007,0.0113475177
2023-06-23,72000,72200,71600,71600,12329484,0.00420757363
2023-06-26,71700,72500,71500,72400,10541901,0.0111731844
2023-06-27,72500,72600,72000,72600,9442997,0.00276243094
2023-06-28,72600,72700,72000,72700,8783093,0.00137741047
2023-06-29,73100,73400,72400,72400,12229967,-0.00412654746
2023-06-30,72500,72700,71700,72200,11694765,-0.00276243094
2023-07-03,72700,73200,72600,73000,10722181,0.0110803324
2023-07-04,73400,73600,72900,73000,10214350,0
2023-07-05,73000,73300,71900,72000,12310610,-0.0136986301
2023-07-06,71900,72400,71500,71600,14777667,-0.00555555556
2023-07-07,71100,71400,69800,69900,17308877,-0.0237430168
2023-07-10,70000,70400,69200,69500,11713926,-0.00572246066
2023-07-11,70200,71500,70100,71500,12177392,0.0287769784
2023-07-12,71200,72000,71100,71900,10375581,0.00559440559
2023-07-13,72400,72600,71900,71900,14417279,0
2023-07-14,72500,73400,72400,73400,15882519,0.0208623088
2023-07-17,73200,73500,72800,73300,10060049,-0.00136239782
2023-07-18,73200,73500,72000,72000,11697900,-0.0177353342
2023-07-19,72700,72800,71300,71700,10896412,-0.00416666667
2023-07-20,71100,71500,70800,71000,9732730,-0.00976290098
2023-07-21,70400,70400,69400,70300,16528926,-0.00985915493
2023-07-24,70100,70900,69900,70400,13418597,0.00142247511
2023-07-25,70000,70500,69800,70000,14314945,-0.00568181818
2023-07-26,69800,70600,68100,69800,30016221,-0.00285714286
2023-07-27,69900,71700,69300,71700,24261179,0.0272206304
2023-07-28,71800,72400,70100,70600,19420683,-0.0153417015
2023-07-31,70900,71000,69800,69800,13035420,-0.0113314448
2023-08-01,70100,71200,70000,71100,12299254,0.0186246418
2023-08-02,70700,71000,69800,69900,13835020,-0.0168776371
2023-08-03,69900,70200,68500,68800,20087090,-0.0157367668
2023-08-04,68800,69100,68200,68300,12360193,-0.00726744186
2023-08-07,67700,69200,67600,68500,10968505,0.00292825769
2023-08-08,69000,69100,67400,67600,14664709,-0.0131386861
2023-08-09,68000,69600,67900,68900,17259673,0.0192307692
2023-08-10,68300,68500,67800,68000,10227311,-0.0130624093
2023-08-11,68400,68800,67500,67500,9781038,-0.00735294118
2023-08-14,67500,67900,66900,67300,9352343,-0.00296296296
2023-08-16,66700,67100,66300,67000,13174578,-0.0044576523
2023-08-17,66300,66800,66000,66700,10778652,-0.00447761194
2023-08-18,66000,66700,65800,66300,11745006,-0.0059970015
2023-08-21,66600,67100,66300,66600,9720067,0.00452488688
2023-08-22,67200,67700,66300,66600,10500242,0
2023-08-23,66700,67100,66400,67100,9549352,0.00750750751
2023-08-24,68300,68700,67900,68200,15044463,0.0163934426
2023-08-25,67100,67400,66900,67100,7032462,-0.0161290323
2023-08-28,66800,67000,66500,66800,5824628,-0.0044709389
2023-08-29,66900,67200,66600,66800,9114352,0
2023-08-30,67300,67700,67100,67100,9181223,0.00449101796
2023-08-31,67100,67200,66400,66900,15964630,-0.00298062593
2023-09-01,66800,71000,66700,71000,29738235,0.0612855007
2023-09-04,72900,72900,70700,71200,26286495,0.00281690141
2023-09-05,70900,71500,70200,70700,12330239,-0.00702247191
2023-09-06,70700,70800,69700,70000,11414620,-0.0099009901
2023-09-07,70000,70600,69600,70400,13741241,0.00571428571
2023-09-08,70200,70300,69600,70300,10688118,-0.00142045455
2023-09-11,70400,70800,70000,70800,11785462,0.00711237553
2023-09-12,70800,71000,70400,70500,11688599,-0.00423728814
2023-09-13,71100,71600,70300,70900,15955797,0.00567375887
2023-09-14,71200,71800,70800,71700,21041407,0.0112834979
2023-09-15,71700,72300,71400,72000,17823512,0.00418410042
2023-09-18,71300,71700,70200,70200,16040727,-0.025
2023-09-19,70400,70800,69600,69800,11820188,-0.0056980057
2023-09-20,70000,70300,69500,69600,10873015,-0.00286532951
2023-09-21,69200,69800,68800,68900,10796336,-0.0100574713
2023-09-22,68300,68900,68300,68800,9897840,-0.00145137881
2023-09-25,68500,69700,68500,69400,13582516,0.00872093023
2023-09-26,70000,70000,68400,68600,13143470,-0.0115273775
2023-09-27,68600,69100,68200,68400,14886491,-0.0029154519
2023-10-04,67400,67700,66700,67500,23361149,-0.0131578947
2023-10-05,67300,67400,66700,66700,16108313,-0.0118518519
2023-10-06,67100,67300,66000,66000,14386527,-0.0104947526
2023-10-10,66200,67600,66200,66400,19889202,0.00606060606
2023-10-11,68600,69400,67900,68200,25209349,0.0271084337
2023-10-12,68600,69700,68200,68900,19311380,0.0102639296
2023-10-13,68000,68500,67700,68000,9724086,-0.0130624093
2023-10-16,67900,68500,66800,67300,12599299,-0.0102941176
2023-10-17,67700,69900,67400,69400,17299253,0.0312035661
2023-10-18,68900,70500,68800,70500,16493184,0.0158501441
2023-10-19,69700,70000,69400,69500,13985012,-0.0141843972
2023-10-20,68900,69200,68100,68800,15204495,-0.0100719424
2023-10-23,68700,69100,68200,68400,11625959,-0.00581395349
2023-10-24,68700,68800,67700,68500,12791710,0.0014619883
2023-10-25,68800,68800,67900,68000,10610703,-0.00729927007
2023-10-26,67000,67900,66700,66700,15517624,-0.0191176471
2023-10-27,67100,67300,66700,67300,11334726,0.00899550225
2023-10-30,66800,67800,66700,67300,10139270,0
2023-10-31,67600,68300,66900,66900,14488892,-0.0059435364
2023-11-01,67500,68900,67300,68600,13775256,0.0254110613
2023-11-02,70000,70000,69400,69700,16350031,0.0160349854
2023-11-03,69700,70200,69500,69600,10322234,-0.00143472023
2023-11-06,69800,70900,69300,70900,22228489,0.0186781609
2023-11-07,70600,70900,70000,70900,17228731,0
2023-11-08,71300,71400,69700,69900,12901310,-0.0141043724
2023-11-09,69900,70800,69600,70300,12301373,0.00572246066
2023-11-10,70000,70500,69500,70500,9684347,0.00284495021
2023-11-13,71300,71300,70300,70400,9246919,-0.00141843972
2023-11-14,71000,71100,70600,70800,9567984,0.00568181818
